experiment_id,window_length_min,weighting_method,dependence_method,posterior_mode,posterior_mean,posterior_variance,ci90_width_normapprox,effective_sample_size,trade_count,events_processed
W15m__CAPPED__EFFECTIVE_N_STAR__sequential_update,15,CAPPED,EFFECTIVE_N_STAR,sequential_update,0.9999719037986065,7.893521759064659e-10,7.431315414696549e-05,6435.5006046072085,13126,28274
W15m__CAPPED__RAW_N__sequential_update,15,CAPPED,RAW_N,sequential_update,0.9999719037986065,7.893521759064659e-10,7.431315414696549e-05,6435.5006046072085,13126,28274
W15m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,15,IMBALANCE_ADJUSTED,EFFECTIVE_N_STAR,sequential_update,0.9999343344168115,4.311402556787877e-09,0.00017367837457793467,9674.849055015497,13126,28274
W15m__IMBALANCE_ADJUSTED__RAW_N__sequential_update,15,IMBALANCE_ADJUSTED,RAW_N,sequential_update,0.9999343344168115,4.311402556787877e-09,0.00017367837457793467,9674.849055015497,13126,28274
W15m__RAW__EFFECTIVE_N_STAR__sequential_update,15,RAW,EFFECTIVE_N_STAR,sequential_update,0.9999238269347959,5.801451966507824e-09,0.00020146821298594464,13126.0,13126,28274
W15m__RAW__RAW_N__sequential_update,15,RAW,RAW_N,sequential_update,0.9999238269347959,5.801451966507824e-09,0.00020146821298594464,13126.0,13126,28274
W15m__SIZE_WEIGHTED__EFFECTIVE_N_STAR__sequential_update,15,SIZE_WEIGHTED,EFFECTIVE_N_STAR,sequential_update,0.9999786884896532,4.541611151279732e-10,5.636819774823554e-05,2966.733425505566,13126,28274
W15m__SIZE_WEIGHTED__RAW_N__sequential_update,15,SIZE_WEIGHTED,RAW_N,sequential_update,0.9999786884896532,4.541611151279732e-10,5.636819774823554e-05,2966.733425505566,13126,28274
W15m__SUBLINEAR__EFFECTIVE_N_STAR__sequential_update,15,SUBLINEAR,EFFECTIVE_N_STAR,sequential_update,0.9999520403554418,2.299906890129473e-09,0.0001268494762373118,9263.977906207168,13126,28274
W15m__SUBLINEAR__RAW_N__sequential_update,15,SUBLINEAR,RAW_N,sequential_update,0.9999520403554418,2.299906890129473e-09,0.0001268494762373118,9263.977906207168,13126,28274
