experiment_id,alpha_last,beta_last,p_hat_last,posterior_mean,posterior_variance,ci90_width_normapprox
W15m__CAPPED__EFFECTIVE_N_STAR__sequential_update,35591.0,1.0,0.9999719037986065,0.9999719037986065,7.893521759064659e-10,7.431315414696549e-05
W15m__CAPPED__RAW_N__sequential_update,35591.0,1.0,0.9999719037986065,0.9999719037986065,7.893521759064659e-10,7.431315414696549e-05
W15m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,15227.677664035524,1.0,0.9999343344168115,0.9999343344168115,4.311402556787877e-09,0.00017367837457793467
W15m__IMBALANCE_ADJUSTED__RAW_N__sequential_update,15227.677664035524,1.0,0.9999343344168115,0.9999343344168115,4.311402556787877e-09,0.00017367837457793467
W15m__RAW__EFFECTIVE_N_STAR__sequential_update,13127.0,1.0,0.9999238269347959,0.9999238269347959,5.801451966507824e-09,0.00020146821298594464
W15m__RAW__RAW_N__sequential_update,13127.0,1.0,0.9999238269347959,0.9999238269347959,5.801451966507824e-09,0.00020146821298594464
W15m__SIZE_WEIGHTED__EFFECTIVE_N_STAR__sequential_update,46922.0,1.0,0.9999786884896532,0.9999786884896532,4.541611151279732e-10,5.636819774823554e-05
W15m__SIZE_WEIGHTED__RAW_N__sequential_update,46922.0,1.0,0.9999786884896532,0.9999786884896532,4.541611151279732e-10,5.636819774823554e-05
W15m__SUBLINEAR__EFFECTIVE_N_STAR__sequential_update,20849.863454326172,1.0,0.9999520403554418,0.9999520403554418,2.299906890129473e-09,0.0001268494762373118
W15m__SUBLINEAR__RAW_N__sequential_update,20849.863454326172,1.0,0.9999520403554418,0.9999520403554418,2.299906890129473e-09,0.0001268494762373118
W1m__CAPPED__EFFECTIVE_N_STAR__sequential_update,5048.0,1.0,0.9998019409784116,0.9998019409784116,3.921184043809917e-08,0.0005238015894568626
W1m__CAPPED__RAW_N__sequential_update,5048.0,1.0,0.9998019409784116,0.9998019409784116,3.921184043809917e-08,0.0005238015894568626
W1m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,2146.2945361660104,1.0,0.9995342977019885,0.9995342977019885,2.166767226489531e-07,0.0012314258959279512
W1m__IMBALANCE_ADJUSTED__RAW_N__sequential_update,2146.2945361660104,1.0,0.9995342977019885,0.9995342977019885,2.166767226489531e-07,0.0012314258959279512
W1m__RAW__EFFECTIVE_N_STAR__sequential_update,1788.0,1.0,0.9994410285075461,0.9994410285075461,3.1210002420363617e-07,0.0014779657622921993
W1m__RAW__RAW_N__sequential_update,1788.0,1.0,0.9994410285075461,0.9994410285075461,3.1210002420363617e-07,0.0014779657622921993
W1m__SIZE_WEIGHTED__EFFECTIVE_N_STAR__sequential_update,7263.0,1.0,0.9998623348017621,0.9998623348017621,1.8946489543163054e-08,0.00036409327592712426
W1m__SIZE_WEIGHTED__RAW_N__sequential_update,7263.0,1.0,0.9998623348017621,0.9998623348017621,1.8946489543163054e-08,0.00036409327592712426
W1m__SUBLINEAR__EFFECTIVE_N_STAR__sequential_update,2960.1976436480695,1.0,0.9996622987992223,0.9996622987992223,1.1396510270021151e-07,0.0008930321084663628
W1m__SUBLINEAR__RAW_N__sequential_update,2960.1976436480695,1.0,0.9996622987992223,0.9996622987992223,1.1396510270021151e-07,0.0008930321084663628
W30m__CAPPED__EFFECTIVE_N_STAR__sequential_update,59079.0,1.0,0.9999830737982397,0.9999830737982397,2.864866076068271e-10,4.476933237362868e-05
W30m__CAPPED__RAW_N__sequential_update,59079.0,1.0,0.9999830737982397,0.9999830737982397,2.864866076068271e-10,4.476933237362868e-05
W30m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,25263.583312150462,1.0,0.999960418899942,0.999960418899942,1.5665394661760548e-09,0.00010468943254282603
W30m__IMBALANCE_ADJUSTED__RAW_N__sequential_update,25263.583312150462,1.0,0.999960418899942,0.999960418899942,1.5665394661760548e-09,0.00010468943254282603
W30m__RAW__EFFECTIVE_N_STAR__sequential_update,21656.0,1.0,0.999953825552939,0.999953825552939,2.1318826752901955e-09,0.0001221279052864288
W30m__RAW__RAW_N__sequential_update,21656.0,1.0,0.999953825552939,0.999953825552939,2.1318826752901955e-09,0.0001221279052864288
W30m__SIZE_WEIGHTED__EFFECTIVE_N_STAR__sequential_update,80777.0,1.0,0.9999876203916908,0.9999876203916908,1.5325090746965433e-10,3.2743811875457496e-05
W30m__SIZE_WEIGHTED__RAW_N__sequential_update,80777.0,1.0,0.9999876203916908,0.9999876203916908,1.5325090746965433e-10,3.2743811875457496e-05
W30m__SUBLINEAR__EFFECTIVE_N_STAR__sequential_update,34713.74351578869,1.0,0.9999711937955253,0.9999711937955253,8.297496109829517e-10,7.619104583833636e-05
W30m__SUBLINEAR__RAW_N__sequential_update,34713.74351578869,1.0,0.9999711937955253,0.9999711937955253,8.297496109829517e-10,7.619104583833636e-05
W5m__CAPPED__EFFECTIVE_N_STAR__sequential_update,17145.0,1.0,0.9999416773591508,0.9999416773591508,3.401133686285766e-09,0.0001542577896916919
W5m__CAPPED__RAW_N__sequential_update,17145.0,1.0,0.9999416773591508,0.9999416773591508,3.401133686285766e-09,0.0001542577896916919
W5m__IMBALANCE_ADJUSTED__EFFECTIVE_N_STAR__sequential_update,7378.533284521205,1.0,0.9998644900752602,0.9998644900752602,1.835796365612403e-08,0.00035839354594724426
